"","UniProt_Name","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"14","H7BYX6;A0A087WTE4;A0A087WTF6;A0A087WX77;A0A087WWD4;A0A087WV75;P13591;A0A087WZS4;A0A087X1V2;A0A087WVU1;A0A0D9SF98;A0A087WWJ5;A0A087WTR3","H7BYX6;A0A087WTE4;A0A087WTF6;A0A087WX77;A0A087WWD4;A0A087WV75;P13591;A0A087WZS4;A0A087X1V2;A0A087WVU1;A0A0D9SF98;A0A087WWJ5;A0A087WTR3","H7BYX6;A0A087WTE4;A0A087WTF6;A0A087WX77;A0A087WWD4;A0A087WV75;P13591;A0A087WZS4;A0A087X1V2;A0A087WVU1;A0A0D9SF98;A0A087WWJ5","4;4;4;4;4;4;4;2;2;2;2;2;1","4;4;4;4;4;4;4;2;2;2;2;2;1","4;4;4;4;4;4;4;2;2;2;2;2;1","Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Neural cell adhesion molecule 1;Neural cell adhesion molecule 1 ",13,4,4,4
"15","A0A087WTT1;A0A7I2V649;H0YAR2;E7ERJ7;A0A7I2YQ88;P11940;E7EQV3;A0A7I2V4N4;A0A7I2YQ90;A0A7I2YQE4;H0YBN4;Q9H361;E5RGH3;E5RH24;E5RJB9;H0YAP2;H0YAS6;H0YB75;E5RHG7;H0YAS7;H0YB86;H0YC10;E5RGC4;E5RFD8;H0YER0;H0YEQ8;A0A7I2V3J9;A0A6Q8JFV4;H0Y6X6;A0A7I2V4V6;A0A6Q8JFT6;Q5JQF8;Q4VXU2","A0A087WTT1;A0A7I2V649;H0YAR2;E7ERJ7;A0A7I2YQ88;P11940;E7EQV3;A0A7I2V4N4;A0A7I2YQ90;A0A7I2YQE4;H0YBN4;Q9H361;E5RGH3;E5RH24;E5RJB9;H0YAP2;H0YAS6;H0YB75;E5RHG7;H0YAS7;H0YB86;H0YC10;E5RGC4;E5RFD8;H0YER0;H0YEQ8;A0A7I2V3J9;A0A6Q8JFV4;H0Y6X6;A0A7I2V4V6;A0A6Q8JFT6;Q5JQF8;Q4VXU2","A0A087WTT1;A0A7I2V649;H0YAR2;E7ERJ7;A0A7I2YQ88;P11940;E7EQV3;A0A7I2V4N4;A0A7I2YQ90;A0A7I2YQE4","12;12;12;12;12;12;11;10;10;9;5;5;3;3;3;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1","12;12;12;12;12;12;11;10;10;9;5;5;3;3;3;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1","8;8;8;8;8;8;7;7;6;7;2;5;1;1;1;3;2;2;1;1;2;1;1;1;0;0;1;1;0;0;1;1;1","Polyadenylate-binding protein;Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein;Polyadenylate-binding protein;Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein;Polyadenylat",33,12,12,8
"16","A0A087WTZ5;E9PJ81;E9PRQ7;Q04323","A0A087WTZ5;E9PJ81;E9PRQ7;Q04323","A0A087WTZ5;E9PJ81;E9PRQ7;Q04323","3;3;3;3","3;3;3;3","3;3;3;3","UBX domain-containing protein 1;UBX domain-containing protein 1 (Fragment);UBX domain-containing protein 1;UBX domain-containing protein 1",4,3,3,3
"17","A6NNI4;A0A2R8Y478;A0A7I2V3T0;A0A7I2V3T7;G8JLH6;A0A087WU13;F5GXT1;P21926","A6NNI4;A0A2R8Y478;A0A7I2V3T0;A0A7I2V3T7;G8JLH6;A0A087WU13;F5GXT1;P21926","A6NNI4;A0A2R8Y478;A0A7I2V3T0;A0A7I2V3T7;G8JLH6;A0A087WU13;F5GXT1;P21926","3;3;3;3;3;3;3;3","3;3;3;3;3;3;3;3","3;3;3;3;3;3;3;3","CD9 antigen;CD9 antigen;CD9 antigen;Tetraspanin;Tetraspanin;Tetraspanin;Tetraspanin;CD9 antigen",8,3,3,3
"18","A0A8I5KUC4;A0A8I5KY62;A0A8I5QJM4;A0A8I5KYH1;A0A8I5QKX7;A0A087WU53;Q9H0U3","A0A8I5KUC4;A0A8I5KY62;A0A8I5QJM4;A0A8I5KYH1;A0A8I5QKX7;A0A087WU53;Q9H0U3","A0A8I5KUC4;A0A8I5KY62;A0A8I5QJM4;A0A8I5KYH1;A0A8I5QKX7;A0A087WU53;Q9H0U3","2;2;2;2;2;2;2","2;2;2;2;2;2;2","2;2;2;2;2;2;2","Magnesium transporter protein 1;Magnesium transporter protein 1;Magnesium transporter protein 1;Magnesium transporter protein 1;Magnesium transporter protein 1;Magnesium transporter protein 1;Magnesium transporter protein 1",7,2,2,2
"19","A0A087WUB9;Q8WYA6","A0A087WUB9;Q8WYA6","A0A087WUB9;Q8WYA6","2;2","2;2","2;2","Beta-catenin-like protein 1;Beta-catenin-like protein 1",2,2,2,2
"20","A0A0C4DGM1;J3QTS8;A0A087WUI4;A0A087X1U0;Q15661;P20231;A0A0C4DFZ7;Q9BZJ3","A0A0C4DGM1;J3QTS8;A0A087WUI4;A0A087X1U0;Q15661;P20231;A0A0C4DFZ7;Q9BZJ3","A0A0C4DGM1;J3QTS8;A0A087WUI4;A0A087X1U0;Q15661;P20231","4;4;4;4;4;4;1;1","4;4;4;4;4;4;1;1","4;4;4;4;4;4;1;1","Tryptase alpha/beta-1 (Fragment);Tryptase alpha/beta-1;Tryptase beta-2;Tryptase beta-2;Tryptase alpha/beta-1;Tryptase beta-2",8,4,4,4
"21","A0A087WUK2;O14979","A0A087WUK2;O14979","A0A087WUK2;O14979","6;6","6;6","6;6","Heterogeneous nuclear ribonucleoprotein D-like;Heterogeneous nuclear ribonucleoprotein D-like",2,6,6,6
"22","A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10","A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10","A0A087WUL2;P49720;A0A087WXQ8;A0A087WY10","4;4;3;3","4;4;3;3","4;4;3;3","Proteasome subunit beta type-3 (Fragment);Proteasome subunit beta type-3;Proteasome subunit beta type-3;Proteasome subunit beta type-3",4,4,4,4
"23","A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;Q9GZT3;H0YJI1;H0YJW7","A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;Q9GZT3;H0YJI1;H0YJW7","A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;Q9GZT3;H0YJI1;H0YJW7","2;2;2;2;2;1;1","2;2;2;2;2;1;1","2;2;2;2;2;1;1","SRA stem-loop-interacting RNA-binding protein, mitochondrial;SRA stem-loop-interacting RNA-binding protein, mitochondrial (Fragment);SRA stem-loop-interacting RNA-binding protein, mitochondrial;SRA stem-loop-interacting RNA-binding protein, mitochondrial;S",7,2,2,2
"24","A0A087WUT6;O60841","A0A087WUT6;O60841","A0A087WUT6;O60841","6;6","6;6","6;6","Eukaryotic translation initiation factor 5B;Eukaryotic translation initiation factor 5B",2,6,6,6
"25","A0A087WUZ3;Q01082;F8W6C1;A4QPE4;P11277","A0A087WUZ3;Q01082;F8W6C1;A4QPE4;P11277","A0A087WUZ3;Q01082","95;95;29;5;2","95;95;29;5;2","89;89;24;0;0","Spectrin beta chain;Spectrin beta chain, non-erythrocytic 1",5,95,95,89
"26","A0A087WV05;Q99417;A0A0D9SEI7","A0A087WV05;Q99417;A0A0D9SEI7","A0A087WV05;Q99417;A0A0D9SEI7","2;2;1","2;2;1","2;2;1","c-Myc-binding protein;c-Myc-binding protein;c-Myc-binding protein",3,2,2,2
"27","A0A087WV25;O95684","A0A087WV25;O95684","A0A087WV25;O95684","4;4","4;4","4;4","Centrosomal protein 43;Centrosomal protein 43",2,4,4,4
"28","X6RCC3;A0A087WV97;Q8WU79","X6RCC3;A0A087WV97;Q8WU79","X6RCC3;A0A087WV97;Q8WU79","3;3;3","3;3;3","3;3;3","Stromal membrane-associated protein 2 (Fragment);Stromal membrane-associated protein 2;Stromal membrane-associated protein 2",3,3,3,3
"29","A0A087WVC4;P22694;B1APG1;B1APG0;B1APG2;B1APF8;B1APF9;B1APG3;A0A7I2V5J4;P17612;B1APF7;A0A7I2YQ82;Q15136;B7Z708;K7ERP6;P22612","A0A087WVC4;P22694;B1APG1;B1APG0;B1APG2;B1APF8;B1APF9;B1APG3;A0A7I2V5J4;P17612;B1APF7;A0A7I2YQ82;Q15136;B7Z708;K7ERP6;P22612","A0A087WVC4;P22694;B1APG1;B1APG0;B1APG2;B1APF8;B1APF9;B1APG3;A0A7I2V5J4;P17612","5;5;3;3;3;3;3;3;3;3;2;1;1;1;1;1","5;5;3;3;3;3;3;3;3;3;2;1;1;1;1;1","5;5;3;3;3;3;3;3;3;3;2;1;1;1;1;1","cAMP-dependent protein kinase;cAMP-dependent protein kinase catalytic subunit beta;cAMP-dependent protein kinase catalytic subunit beta (Fragment);cAMP-dependent protein kinase catalytic subunit beta (Fragment);cAMP-dependent protein kinase catalytic subun",16,5,5,5
"30","A0A087WXI3;A0A087WVL8;A0A8I5KTZ9;A0A087WY29;A0A8I5KT56;A0A8I5KWH0;A8MQB8;A0A8I5KZ21;G3V0J0;A0A8I5KS01;Q06787;Q8IXW7;A0A8I5KYA7;A0A8I5KTT6;A0A8I5KUC2","A0A087WXI3;A0A087WVL8;A0A8I5KTZ9;A0A087WY29;A0A8I5KT56;A0A8I5KWH0;A8MQB8;A0A8I5KZ21;G3V0J0;A0A8I5KS01;Q06787;Q8IXW7;A0A8I5KYA7;A0A8I5KTT6;A0A8I5KUC2","A0A087WXI3;A0A087WVL8;A0A8I5KTZ9;A0A087WY29;A0A8I5KT56;A0A8I5KWH0;A8MQB8;A0A8I5KZ21;G3V0J0;A0A8I5KS01;Q06787;Q8IXW7;A0A8I5KYA7;A0A8I5KTT6;A0A8I5KUC2","3;3;3;3;3;3;3;3;3;3;3;2;2;2;2","2;2;2;2;2;2;2;2;2;2;2;2;2;1;1","2;2;2;2;2;2;2;2;2;2;2;2;2;1;1","Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messenger ribonucleoprotein 1;Fragile X messen",15,3,2,2
"31","A0A087WVQ6;Q00610;J3KS13;A0A087WX41;P53675;K7EJJ5;J3QL20;J3KSQ2;J3KRF5","A0A087WVQ6;Q00610;J3KS13;A0A087WX41;P53675;K7EJJ5;J3QL20;J3KSQ2;J3KRF5","A0A087WVQ6;Q00610","54;54;20;10;10;7;4;4;4","54;54;20;10;10;7;4;4;4","54;54;20;10;10;7;4;4;4","Clathrin heavy chain;Clathrin heavy chain 1",9,54,54,54
"32","A0A7I2V659;A0A087WVQ9;Q5VTE0;P68104;A0A7I2V5N4;A0A7I2V3H3;A0A087WV01;A0A2U3TZH3;Q05639;A0A2R8Y488;Q5JR01;A0A2R8Y660;A6PW80;A0A6Q8PFK6;A0A2R8YDN5","A0A7I2V659;A0A087WVQ9;Q5VTE0;P68104;A0A7I2V5N4;A0A7I2V3H3;A0A087WV01;A0A2U3TZH3;Q05639;A0A2R8Y488;Q5JR01;A0A2R8Y660;A6PW80;A0A6Q8PFK6;A0A2R8YDN5","A0A7I2V659;A0A087WVQ9;Q5VTE0;P68104;A0A7I2V5N4;A0A7I2V3H3;A0A087WV01;A0A2U3TZH3;Q05639","15;15;15;15;13;12;11;9;9;6;4;4;3;2;2","15;15;15;15;13;12;11;9;9;6;4;4;3;2;2","15;15;15;15;13;12;11;9;9;6;4;4;3;2;2","Elongation factor 1-alpha;Elongation factor 1-alpha;Putative elongation factor 1-alpha-like 3;Elongation factor 1-alpha 1;Elongation factor 1-alpha;Elongation factor 1-alpha;Elongation factor 1-alpha;Elongation factor 1-alpha;Elongation factor 1-alpha 2",15,15,15,15
"33","A0A087WVY5;Q96MR6;E9PRV3;E9PP89;H7C4D4","A0A087WVY5;Q96MR6;E9PRV3;E9PP89;H7C4D4","A0A087WVY5;Q96MR6","9;9;2;1;1","9;9;2;1;1","9;9;2;1;1","Cilia- and flagella-associated protein 57;Cilia- and flagella-associated protein 57",5,9,9,9
"34","A0A087WW23;P20292","A0A087WW23;P20292","A0A087WW23;P20292","2;2","2;2","2;2","Arachidonate 5-lipoxygenase-activating protein;Arachidonate 5-lipoxygenase-activating protein",2,2,2,2
"35","A0A087WW38;A0A2R8YFQ7;A0A2R8YCZ4;Q9Y2S2;A0A2R8Y4K2","A0A087WW38;A0A2R8YFQ7;A0A2R8YCZ4;Q9Y2S2;A0A2R8Y4K2","A0A087WW38;A0A2R8YFQ7;A0A2R8YCZ4;Q9Y2S2;A0A2R8Y4K2","2;2;2;2;1","2;2;2;2;1","2;2;2;2;1","Lambda-crystallin homolog (Fragment);Lambda-crystallin homolog;Lambda-crystallin homolog;Lambda-crystallin homolog;Crystallin, lambda 1, isoform CRA_c",5,2,2,2
"36","A0A087WW40;Q9Y371","A0A087WW40;Q9Y371","A0A087WW40;Q9Y371","6;6","5;5","5;5","Endophilin-B1;Endophilin-B1",2,6,5,5
"37","A0A087WW66;Q99460;A0A7I2V2K8;A0A7P0MW50;A0A7I2YQY1;A0A7I2V262;A0A7I2V5C8;A0A7I2V523;A0A7I2V4X0;A0A7I2V641;A0A7I2V479;A0A7I2YQI9;A0A7I2V491;C9J9M4;A0A7I2V4A5;H7BZR6","A0A087WW66;Q99460;A0A7I2V2K8;A0A7P0MW50;A0A7I2YQY1;A0A7I2V262;A0A7I2V5C8;A0A7I2V523;A0A7I2V4X0;A0A7I2V641;A0A7I2V479;A0A7I2YQI9;A0A7I2V491;C9J9M4;A0A7I2V4A5;H7BZR6","A0A087WW66;Q99460;A0A7I2V2K8;A0A7P0MW50;A0A7I2YQY1;A0A7I2V262;A0A7I2V5C8;A0A7I2V523;A0A7I2V4X0;A0A7I2V641;A0A7I2V479;A0A7I2YQI9","9;9;8;8;8;8;8;8;7;7;7;6;4;2;2;1","9;9;8;8;8;8;8;8;7;7;7;6;4;2;2;1","9;9;8;8;8;8;8;8;7;7;7;6;4;2;2;1","26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-ATPase regulatory subunit 1;26S proteasome non-AT",16,9,9,9
"38","A0A087WWG1;Q8TE77;E9PIT5;C9JUG3","A0A087WWG1;Q8TE77;E9PIT5;C9JUG3","A0A087WWG1;Q8TE77;E9PIT5;C9JUG3","2;2;1;1","2;2;1;1","2;2;1;1","Protein-serine/threonine phosphatase (Fragment);Protein phosphatase Slingshot homolog 3;Protein-serine/threonine phosphatase (Fragment);Protein phosphatase Slingshot homolog 3",4,2,2,2
"39","A0A087WWM0;O43617;A0A087WYS5;A6NKE1","A0A087WWM0;O43617;A0A087WYS5;A6NKE1","A0A087WWM0;O43617;A0A087WYS5;A6NKE1","2;2;1;1","2;2;1;1","2;2;1;1","Trafficking protein particle complex subunit;Trafficking protein particle complex subunit 3;Trafficking protein particle complex subunit 3;Trafficking protein particle complex subunit 3",4,2,2,2
"40","A0A087WXX8;A0A087WWT1;P21912","A0A087WXX8;A0A087WWT1;P21912","A0A087WXX8;A0A087WWT1;P21912","3;3;3","3;3;3","3;3;3","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (Fragment);Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (Fragment);Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",3,3,3,3
"41","A0A087WWU8;D6R904;A0A494C0G0;Q5VU61","A0A087WWU8;D6R904;A0A494C0G0;Q5VU61","A0A087WWU8;D6R904","15;9;7;2","9;3;1;2","3;3;1;2","Tropomyosin alpha-3 chain;Tropomyosin alpha-3 chain",4,15,9,3
"42","A0A087WWV9;Q9UI46;Q5T8G8;H0YDT9","A0A087WWV9;Q9UI46;Q5T8G8;H0YDT9","A0A087WWV9;Q9UI46;Q5T8G8","6;6;3;1","6;6;3;1","6;6;3;1","Dynein axonemal intermediate chain 1;Dynein axonemal intermediate chain 1;Dynein axonemal intermediate chain 1 (Fragment)",4,6,6,6
"43","A0A087WX34;H3BV03;Q68CZ1;H3BPF5;A0A7P0TB06;H3BS47","A0A087WX34;H3BV03;Q68CZ1;H3BPF5;A0A7P0TB06;H3BS47","A0A087WX34;H3BV03;Q68CZ1;H3BPF5;A0A7P0TB06;H3BS47","2;2;2;1;1;1","2;2;2;1;1;1","2;2;2;1;1;1","Protein fantom;Protein fantom;Protein fantom;Protein fantom (Fragment);Protein fantom;Protein fantom",6,2,2,2
"44","A0A087WX59;Q16186;A0A087WUX6","A0A087WX59;Q16186;A0A087WUX6","A0A087WX59;Q16186;A0A087WUX6","2;2;1","2;2;1","2;2;1","Proteasomal ubiquitin receptor ADRM1;Proteasomal ubiquitin receptor ADRM1;Proteasomal ubiquitin receptor ADRM1 (Fragment)",3,2,2,2
"45","A0A087WYF1;A0A087WX80;P24043","A0A087WYF1;A0A087WX80;P24043","A0A087WYF1;A0A087WX80;P24043","7;7;7","7;7;7","7;7;7","Laminin subunit alpha-2;Laminin subunit alpha-2;Laminin subunit alpha-2",3,7,7,7
"46","A0A7I2V3H5;A0A7I2YQU0;A0A7I2V594;A0A087WXC5;E7ESZ7;O95299;C9J6X0;A0A7I2V2W9;A0A7I2V458;A0A7I2V2X3;A0A7I2V419;A0A7I2V5U7;A0A7I2V5B2;H7C1Y7;H7C2X4;A0A7I2V2N6;A0A7I2V4N8;A0A7I2V327;Q8N1B9;A0A7I2V2I6;A0A7I2V3D4;A0A7I2V2F6;A0A7I2V5L0;A0A7I2V438;H7C2W5","A0A7I2V3H5;A0A7I2YQU0;A0A7I2V594;A0A087WXC5;E7ESZ7;O95299;C9J6X0;A0A7I2V2W9;A0A7I2V458;A0A7I2V2X3;A0A7I2V419;A0A7I2V5U7;A0A7I2V5B2;H7C1Y7;H7C2X4;A0A7I2V2N6;A0A7I2V4N8;A0A7I2V327;Q8N1B9;A0A7I2V2I6;A0A7I2V3D4;A0A7I2V2F6;A0A7I2V5L0;A0A7I2V438;H7C2W5","A0A7I2V3H5;A0A7I2YQU0;A0A7I2V594;A0A087WXC5;E7ESZ7;O95299;C9J6X0;A0A7I2V2W9;A0A7I2V458;A0A7I2V2X3;A0A7I2V419;A0A7I2V5U7;A0A7I2V5B2;H7C1Y7;H7C2X4;A0A7I2V2N6;A0A7I2V4N8;A0A7I2V327;Q8N1B9;A0A7I2V2I6;A0A7I2V3D4;A0A7I2V2F6;A0A7I2V5L0;A0A7I2V438","4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1","4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1","4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;1","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial;NADH dehydrogenase [ubiqu",25,4,4,4
